"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"643","Claire",2002-01-01,"Alain",NA,"De la norme aux pratiques chez les pilotes de ligne : utilisation d'un regard interne à la communauté aéronautique"
"644","Philippe",2000-01-01,"Renaud",NA,"La socialisation des cadres internationaux dans l'entreprise mondialisée : l'exemple d'un groupe pétrolier français"
"645","Yumi Garcia dos",2008-01-01,"Helena Sumiko",NA,"= Femmes chefs de famille monoparentale entre l'autonomie et la dépendance : une étude comparative entre le Brésil, la France et le Japon"
"646","Giovanni",2010-01-01,"Olivier",NA,"Les intermédiaires du risque : recherche, alerte, surveillance : mobilisations scientifiques face aux introductions de pathogènes de quarantaine en agriculture"
"647","Tristan",2005-01-01,"Jean-Pierre",NA,"La grande transformation : familles ouvrières, école et insertion professionnelle, 1960-2000"
"648","Barbara",2005-01-01,"Patrick",NA,"Systèmes de protection sociale, paquets de soins et stratégies d'action face aux risques sociaux : la prise en charge des personnes âgées dépendantes dans une perspective comparative"
"649","Mathias",2007-01-01,"Numa",NA,"De l'emploi à l'activité : une ethnographie du travail dans la grande distribution"
"650","Arnaud",2008-01-01,"Terry",NA,"L’office et le télescope : une sociologie historique de l’astronomie française, 1900-1940"
"651","Thomas",2007-01-01,"Erhard",NA,"Qualités des marchandises et préférences des marchands : la régulation des marchés des produits de la mer"
"652","Mohammed",2006-01-01,"Marie-Claude",NA,"La circulation internationale de l'information et la souveraineté nationale"
"653","Marie-Laëtitia",2005-01-01,"Anne",NA,"Se sentir français : sociologie d'un sentiment d'appartenance"
"654","Aminata",2003-01-01,"Maxime",NA,"La femme toucouleur et le développement rural en Mauritanie : analyse des groupements féminins maraîchers dans la Wilaya du Gorgol"
"655","Mona",2009-01-01,"Bruno",NA,"Les femmes d'Aden, de la visibilité à l'invisibilité : une étude intergénérationnelle, de la période ""socialiste"" au Yémen unifié"
"656","Thierry",2000-01-01,"Jacques",NA,"Qualification des interactions observables entre l'homme et les machines numériques dotées d'interface à modalités sensibles"
"657","François",2005-01-01,"Michel",NA,"Du côté des vainqueurs : identité professionnelle, rapport au travail et à l'emploi des salariè-e-s du courtage en ligne"
"658","Nicos",2001-01-01,"Alain",NA,"Participation et apathie politiques dans la France contemporaine (Ve République, de 1958 à nos jours) : démarche pour scruter les limites de la participation à la politique instituée et pour élucider l'apathie à l'égard de cette politique : tentative pour réouvrir le chemin de la pensée politique démocratique"
"659","Marie",2006-01-01,"Bruno",NA,"Jeux d'acteurs dans le système alimentaire burkinabé : normes, conflits et compromis dans le marché céréalier et la gestion de l'aide alimentaire d'urgence"
"660","Nicolas",2006-01-01,"Yvonne",NA,"L'information numérique : un défi pour les rédactions de télévision : mise en perspective des mutations techniques, économiques et sociales"
"661","Eliana Costa",2003-01-01,"Alain",NA,"Gestion urbaine et régulation sociale : les politiques d'habitat populaire à Fortaleza et à Recife-Brésil (1988-1999)"
"662","Héloïse",2010-01-01,"Yves",NA,"Les savoirs citoyens dans l'urbanisme participatif : regards croisés sur les expériences de Paris et de Cordoue"
"663","Christiane",2004-01-01,"Rémy",NA,"Permanence et changements du métier de formateur, quel avenir pour la formation infirmière ?"
"664","Julien",2010-01-01,"Olivier",NA,"L’institutionnalisation de l’Agence française de sécurité sanitaire des aliments comme organisation-frontière : bureaucratisation de l’expertise et régulation des risques alimentaires"
"665","Constance",2009-01-01,"Anne-Marie",NA,"Être du métier de génération en génération : les échanges intergénérationnels dans une entreprise de transport face au défi de l'allongement de la vie active"
"666","Stéphanie",2002-01-01,"Bernard",NA,"L'engagement impersonnel dans les relations de service : analyse des situations de réparation sociale"
"667","Ali",2002-01-01,"Isaac",NA,"Conditions d'émergence de la confiance : dans une entreprise publique : la poste : le cas d'une direction départementale"
"668","Marjolaine",2010-01-01,"Catherine",NA,"Relations d'affaires franco-nigérianes : l'émergence de configurations sociales et commerciales internationales : échange, incertitude et stratégies identitaires"
"669","Fanny",2007-01-01,"Jacqueline",NA,"L' égalité des sexes institutionnalisée? : des politiques publiques aux rapports de séduction, un examen du modèle norvégien"
"670","Sofian",2008-01-01,"Jean-Claude",NA,"Goûts en mouvement : l'individu à l'épreuve d'une sociologie des activités esthétiques ordinaires dans les espaces du quotidien"
"671","Ivor",2004-01-01,"Catherine",NA,"Le sublime objet du nationalisme : le nationalisme et la démocratie en Afrique du Sud"
"672","Emmanuelle",2005-01-01,"Claude",NA,"Les formateurs d'adultes : un groupe professionnel segmenté en tension entre deux mondes"
"673","Diego",2001-01-01,"Raymond",NA,"L'École, le marché et la justice sociale : une étude sur les attitudes anticapitalistes des intellectuels"
"674","Sébastien",2012-01-01,"Philippe",NA,"L'utopie du logiciel libre : la construction de projets de transformation sociale en lien avec le mouvement du ""free software"""
"675","Sacha",2008-01-01,"Danièle",NA,"Les ressentiments de la société du travail : la Couverture Maladie Universelle en quête de légitimité"
"676","Jean-Pierre",2000-01-01,"Vincent de",NA,"Sport et dopages : institution de la compétition, idéologie de l'excellence et conduites addictives du sport intensif"
"677","Céline",2003-01-01,"Alain",NA,"Le désengagement de l'État et ses effets sur les relations professionnelles à France Telecom"
"678","Jérémie",2007-01-01,"Frédéric de",NA,"Le travail de coordination à distance : éclatement des collectifs de travail et transformations du travail collectif"
"679","Jung Ho",2008-01-01,"Alain",NA,"Étude des perspectives de Durkheim, de Weber et de Mauss sur la notion de salut : du mana au salut par la transformation du don"
"680","Martine",2003-01-01,"Michel",NA,"Accompagner le changement organisationnel par apprentissage : les apports d'une approche interdisciplinaire"
"681","Théophile",2010-01-01,"Jean-Paul",NA,"Les forêts communautaires du Sud-Cameroun : un outil d'application du développement durable à l'échelle villageoise ?"
"682","Tania Leda",2011-01-01,"Danièle",NA,"L' évolution du travail au cours de la restructuration productive : l'enjeu entre efficacité productive et contrôle au sein de l’automatisation croissante : Deux études de cas dans l’industrie pétrolière en Bolivie"
"683","Gwenaële",2000-01-01,"Erhard",NA,"Les Usines Renault à l'épreuve de leur modernisation : contribution à une sociologie de l'atelier"
"684","Sophie",2001-01-01,"Carmen",NA,"Des lycéens sans histoires : école et famille du point de vue des jeunes dans une banlieue parisienne"
"685","Jean-François",2006-01-01,"Jean-François",NA,"Proximité, réserve et emprunt : la place de Michel Foucault dans la sociologie française"
"686","Anne",2005-01-01,"Étienne",NA,"L'immigration des Colombiens en France"
"687","Isabelle",2002-01-01,"Pierre",NA,"Le chömage quand on a plus de 50 ans, l'impossible retour à l'emploi : trajectoires de chômeurs ""peu qualifiés"" en Seine-Saint-Denis"
"688","Elodie",2006-01-01,"Annette",NA,"Entreprises multinationales et représentation des salariés en Europe : l'expérience des comités d'entreprise européens"
"689","Geraldo Majela Gaudencio",2002-01-01,"Bruno",NA,"Voix publiques - Voies publiques : critique de la sphère publique au Brésil : figures, configurations, spatialités"
"690","Frédéric",2004-01-01,"Raymond",NA,"L' élaboration d'une conviction en contexte d'incertitude cognitive : le choix français de la réduction du temps de travail pour lutter contre le chômage"
"691","Linda",2007-01-01,"André",NA,"Des sociétés nomades et des États : enjeux identitaires en Mongolie et au Mali"
"692","Christian Casimiro",2011-01-01,"Régine",NA,"Apprendre et appartenir : la socialisation ouvrière à l’aune des apprentissages professionnels, sociologie comparée des ateliers de construction métallique et d’une grande entreprise d’aéronautique"
"693","Danielle",2005-01-01,"Marcel",NA,"Dispositifs d'insertion professionnelle et socialisation dans une société insulaire en construction : le cas des jeunes chômeurs de la Mission Locale de la Cabesterre en Martinique"
"694","Gaëtan",2006-01-01,"Jean-Pierre",NA,"Le consentement des cadres au travail : contraintes économiques, sens du travail et imaginaires sociaux"
"695","Brigitte",2002-01-01,"Françoise",NA,"Espagne, de la politique familialiste à l'égalité professionnelle : la nouvelle configuration état-marché-famille"
"696","Hélène",2010-01-01,"Bruno",NA,"Contre-réforme agraire au Nicaragua, instrument de reconquête du pouvoir 1990-2010"
"697","Bruno",2008-01-01,"Edmond",NA,"Cadres d'entreprise et quartiers de refondation à Paris et à Milan : contribution à l'analyse différenciée du rapport des classes supérieures à la mixité socio-spatiale et aux dynamiques d'auto-ségrégation"
"698","Fatima",2007-01-01,"Catherine",NA,"La vieillesse illégitime? : Migrantes marocaines en quête de reconnaissance sociale ?"
"699","Jean-Michel",2004-01-01,"Serge",NA,"Vers la convergence des modèles sociaux en Europe ? : éléments pour une analyse comparative de l'évolution des formes et des logiques des sociétés providentielles face aux mutations de l'emploi et à la résurgence de la pauvreté"
"700","Eleftheria",2004-01-01,"Hugues",NA,"La reproduction des exploitations agricoles en Grèce : deux études de cas pour une remise en question du modèle agricole grec"
"701","Elif",2012-01-01,"Jean-Michel",NA,"Vivre en France et en Turquie"
"702","Raymonde",2003-01-01,"Philippe",NA,"La question de la professionnalisation des greffiers"
"703","Djaouida",2000-01-01,"Pierre",NA,"L'insolite répartie féminine : les ambivalences du féminin et du masculin face à la dynamique du changement"
"704","Kokou-Jean",2005-01-01,"Michel",NA,"Les mutations du compagnonnage et le changement techniques"
"705","David",2016-12-06,"Marc","Jérôme","Des usines à colis : trajectoire ouvrière des entrepôts de la grande distribution"
"706","Line",2016-11-09,"Marc","Bernard","""On ne va pas se mettre en arrêt pour ça."" : les arrêts maladie, pratiques, discours et représentations dans les secteurs des musiques actuelles et de l'aide à domicile"
"707","Isabelle",2000-01-01,"Serge",NA,"Soigner les pauvres : rapports sociaux et identités dans les associations humanitaires et le secteur hospitalier"
"708","Anne-Christine",2013-01-01,"Vincent de",NA,"Surveillantes dans les prisons pour hommes : une étude clinique des enjeux institutionnels et psychiques"
"709","Celia",2005-01-01,"Henri",NA,"Travail théâtral : travail, implication et culture au Théâtre des Bouffes du Nord"
"710","Léonie",2008-01-01,"Régine",NA,"La restauration des œuvres de musées : transformation d'une activité et dynamique professionnelle"
"711","Nabil",2007-01-01,"Jean-Claude",NA,"Les mises en scène de l'identité : entre une ethnographie d'un café kabyle à Saint-Denis et la rédaction de l'autobiographie raisonnée d'un intellectuel"
"712","Troels Magelund",2016-11-04,"Cornelia","Olivier","Discours économique et intégration européenne des marchés : le problème d'infrastructures financières"
"713","Anne",2018-11-30,"Bruno","Joëlle","Du vandalisme d’œuvres d’art. Enjeux et réceptions. Destructions, dégradations et interventions dans les musées en Europe et en Amérique du Nord depuis 1970"
"714","Minami",2018-11-20,"Bruno","Dominique","La sociabilité des haïkistes au Japon ˸ flexibilité et pluralité des liens humains"
"715","Audrey",2013-01-01,"Erhard",NA,"Genèse et institutionnalisation d'une organisation biomédicale, l'exemple des cancéropôles (2002-2010) : l'organisation comme instrument d'action publique"
"716","Alix Didier",2017-09-07,"Antoine","Bruno","Acteurs de l’éducation musicale : ethnographie comparative entre trois núcleos qui s’inspirent du programme El Sistema au Venezuela, au Brésil et au Portugal"
"717","Dayana Karla Melo da",2016-09-21,"Michel","Christian","Mouvements-Réseau : technique, environnement et socialités à l'époque de l'Anthropocène"
"718","Rónán",2015-11-27,"Michel","Jean-Martin","La mémoire collective et la violence : radicalisation et enracinement"
"719","Akinola Ejodame",2016-11-07,"Marc-Antoine","Mathieu","La crise de Boko Haram et les récits de résistance dans le nord du Nigeria : le cas de l'État de Sokoto"
"720","Marcelo",2014-11-19,"Michel","Christian","L'imaginaire de la fête ""tribale"" au Brésil : l'exemple du ""Miss Brésil Gay"" à Juiz de Fora"
"721","Salah",2017-03-27,"Dominique","Bruno","La compréhension du comportement du consommateur des objets de luxe : le cas du consommateur libanais de la classe moyenne supérieure"
"722","Adriana Anunciaçao",2015-11-26,"Michel","Patrick","Écologie, écosophie et réseaux numériques"
"723","Belén",2016-05-10,"Michel","Jean-Martin","La marche de l'inquiétude : de jeunes Chiliens à Paris"
"724","Reza Sam",2016-11-24,"Jan","Valérie","Déportation pour motif d'homosexualité et mouvement LGBT en France : évocations du passé, entre engagement militant et cadre institutionnel"
"725","Carlos Eduardo Souza",2015-11-26,"Michel","Philippe","Imaginaire mystique contemporain et réseaux numériques"
"726","كلثوم",2011-12-06,"Burhan","Jacqueline","Vers une plateforme de modernisation de la pensée islamique : Une nouvelle alternative à travers la pensée de Abdelmagid Charfi, Mohammed Arkoun et Nasr Hamid Abou Zeid"
"727","Marie-Pierre",2014-10-17,"Jan","Pierre-Antoine","La mobilisation dans la littérature pédagogique managériale : une analyse de contenu de manuels de formation"
"728","Simone",2014-11-21,"Jan","Suzie","L'OCDE comme autorité épistémologique : production des connaissances avec PISA à la Direction de l'Éducation de l'OCDE"
"729","Louise",2015-11-23,"Laurence","Olivier","Maternités précoces et vulnérabilité : analyse sociologique de leur signification et des politiques périnatales mises en place"
"730","Renaud",2010-01-19,"Terry","Catherine","La critique radicale de la science en France : origines et incidences de la politisation de la science en France depuis Mai 1968"
"731","Mikaël",2008-06-11,"Frédéric de",NA,"Le métier de facteur à l'épreuve des nouvelles organisations du travail à La Poste"
"732","Lionel",2009-05-07,"Frederik","Michel","La controverse de Janus : l’action sociale et médico-sociale, centre de recyclage de la modernité"
"733","Christophe",2010-06-07,"Jean-Pierre","Olivier","De la science à la technoscience, du chercheur au technologue : les cas de la génopole d'Evry, du biopôle de Laval (Québec) et de l'université de San Diego (Californie)"
"734","Marie",2011-03-30,"Pierre-Paul","Alexandre","Le secteur français des jeux d’argent à l’heure numérique : émergence et transformation d’un marché contesté"
"735","Hélène",2011-05-25,"Jacques",NA,"Gouverner sans choisir : entre contrainte morale et réalisme politique : l'engagement français dans le processus d'interdiction des armes à sousmunitions (2003-2008)"
"736","Anne-Sophie",2014-12-02,"Éric","Dominique","La sériephilie en France. Processus de reconnaissance culturelle des séries et médiatisation des discours spécialisés depuis la fin des années 80"
"737","Pauline",2015-11-20,"Marco","Muriel","Engagement et mobilité sociale par la culture : étude de trois configurations politiques et artistiques en banlieue rouge (1960-2014)"
"738","Katia Regina",2011-11-24,"Bruno","Bruno-Nassim","Un regard à double égard sur la misère du monde. Analyse des effets de la forme esthétique des images photographiques de Sebastiao Salgado."
"739","Khaoula",2014-04-15,"Pierre-Noël","Dominique","Port du voile : représentations et pratiques du corps chez les femmes tunisiennes"
"740","Narguesse",2014-11-17,"Patrice","Pascale","Les ""relations interculturelles"" : trajectoire sociale d'une catégorie réformatrice"
"741","Pauline",2011-12-16,"Bruno","Denis","Modèles de la féminité, ideologie, sacralité et genre à travers le Ballet national de Cuba et la revolutions castriste. Le corps aux prises avec la danse académique et la rhétorique révolutionnaire : pour une analyse pluridisciplinaire de l’intime et du politique"
"742","Honorée",2015-01-09,"María-Eugenia",NA,"Les jeunes filles « soutien de famille » à Yaoundé : analyse sociologique d’un phénomène répandu mais invisible"
"743","Nicolas",2012-10-29,"François","Jacques","Des éducateurs placés sous main de justice : les éducateurs de la protection judiciaire de la jeunesse entre droit pénal et savoirs sur l’homme"
"744","Dima",2011-01-01,"Denis",NA,"Créer la coopération ? : les dynamiques de partenariat sur le pôle de compétitivité du plateau de Saclay"
"745","Le",2013-11-27,"Sylvaine",NA,"Les voies de l’autonomisation des femmes en zone rurale : modes d’organisation et d’action pour l’accès au marché dans la province du Ningxia, Chine"
"746","Marie",2013-10-01,"Bruno","Lilian","Des manières critiques de faire du rap : pratiques artistiques, pratiques politiques : contribution à une sociologie de l'engagement des artistes"
"747","Anne-Sarah",2014-09-22,"Philippe","Antigone","Le développement durable face aux aspirations : analyses d’écologie sociale"
"748","Alicia",2016-12-14,"María-Eugenia","Odile","Rester au village. Une génération à l’épreuve des changements économiques, politiques et familiaux au sud du Mexique (1943-2014)"
"749","Karolina",2015-05-29,"François","Anna","Le traitement administratif des chômeurs en Pologne"
"750","Sonia",2009-01-01,"Sylvaine",NA,"L'engagement de la microfinance dans le domaine de la santé : vers l'autonomie et la responsabilité de l'acteur dans le système mondialisé"
"751","Habib marius",2015-11-26,"François","Christian","Les tontines africaines entre finances et vecteur de lien social : comparaison des tontines africaines du marché de Château-Rouge et des tontines des marchés de Brazzaville"
"752","Sidonie",2012-12-07,"Philippe","Didier","Le journalisme gastronomique. Sociologie d'un dispositif de médiation marchande"
"753","Audrey",2014-12-05,"Didier","Régine","Aux frontières de la biomédecine : médecine et professionnels de la douleur"
"754","Lydie",2011-01-01,"Marie-Hélène",NA,"Les politiques de mixité par l’habitat à l’épreuve des rapports résidentiels : Quartiers populaires et beaux quartiers à Paris et à Londres"
"755","Jean Abel",2014-09-16,"Pierre","Philippe","Sociologie économique de la corruption : Vers une étude de l'implémentation des politiques publiques de lutte contre la corruption en Haïti"
"756","Agathe",2017-09-29,"Marco","Philippe","Ethnicité et cultures juvéniles dans les quartiers populaires : une comparaison France-Angleterre"
"757","Zhenzhen",2014-10-09,"Claude","Wenrui","Dynamiques des relations professionnelles dans les entreprises publiques en Chine : le cas de deux entreprises de Shanghai"
"758","Leonor",2012-11-27,"Bruno","Danilo","Le roman des individus. La socialisation ou prisme de l'expérience littéraire"
"759","Guillaume",2014-12-01,"Emmanuel",NA,"Des rencontres dans la mondialisation : réseaux et apprentissages dans un salon de distribution de programmes de télévision en Afrique sub-saharienne"
"760","Van Chien",2013-06-26,"Alain","Jacques","Le devenir des jeunes femmes engagées volontaires dans la guerre du Vietnam"
"761","Noémie",2015-05-13,"Louis-André","Agnès","Inégalités sociales de compétences (scolaires) et organisation du système éducatif : études comparées à partir des enquêtes PISA de 2000 à 2009"
"762","Claire",2015-10-02,"Patrick","Christian","Navigations humaines au gré du flux mondialisé : le travail des marins de commerce sur les navires français de nos jours"
"763","Veronica",2013-02-25,"Jean-Paul","Marc","Une pratique sociale à l’épreuve de la conservation de la nature. Incertitudes et controverses environnementales autour de la dégradation de la pêche dans la Réserve de la Biosphère du Delta du Danube."
"764","Yann",2013-01-01,"Bernard",NA,"Les frontières comptables du social : la protection sociale et le salaire dans la comptabilité nationale (1944-2010)"
"765","Lucie",2011-10-06,"Jean-Pierre","Vincent de","L'organisation par projet : enquête dans deux établissements des industries automobile et aéronautique"
"766","Radoslav",2013-11-08,"Antigone","Bernard","Construction de l’acteur « ennemi »  et institution concentrationnaire : étude comparative entre les camps de Rivesaltes (sous Vichy) et de Béléné (République populaire de Bulgarie)"
"767","Myriam",2012-11-12,"Philippe","Olivier","La sexualité en prison de femmes"
"768","Lucie",2014-07-01,"Philippe","Éric","Sexualité et handicap mental : enquête sur le traitement social de la sexualité des personnes désignées comme « handicapées mentales » en France et en Suisse"
"769","Ali",2014-03-14,"Didier","Pierre","De l'homme attendu à l'homme aliéné : la domination idéologique dans le système éducatif en Iran"
"770","Mohamed",2013-07-01,"Emmanuel",NA,"Le processus social de légitimation des produits financiers. Le cas des Exchange Traded Funds (ETF) en France"
"771","Scarlett",2013-01-01,"François",NA,"Une hygiène psychique au travail ? : genèse et usages du coaching en entreprise en France"
"772","Adrien",2014-11-19,"Louis","Alain","Les transferts intergénérationnels des parents à leurs descendants en Europe : la solidarité comme mécanisme de (re)production des inégalités"
"773","Lara",2018-10-05,"Philippe","Nicolas","La discipline médicale : ethnographie des usages de normes de santé et de savoirs médicaux dans les dispositifs de la pénalité"
"774","Jaime Andres",2014-12-03,"Emmanuel",NA,"Apprentissage inter-organisationnel au sein des réseaux interindividuels : le cas de la conversion de viticulteurs à l'agriculture biologique"
"775","Kaoutar",2014-09-12,"Bruno","Jean-Louis","La formation de la croyance en la valeur littéraire en situation coloniale et postcoloniale : étude des trajectoires de consécration des écrivains algériens francophones Assia Djebar et Kateb Yacine, en France, entre 1950 et 2009"
"776","Carlos",2015-02-05,"Irène","James","Gouvernabilité et conflits interethniques en Colombie"
"777","Kenza",2015-02-25,"Élisabeth",NA,"Femmes et profession comptable au Maroc"
"778","Aurélie",2017-04-24,"François","Christophe","Principe d’efficience entre technique et économie : calculs de rendement des premiers moteurs électriques (1881 – 1914)"
"779","Zhour",2012-01-01,"Jean-Paul",NA,"Dénouer les fils de la coordination à travers l’appréhension des grammaires locales : analyse des pratiques de coordination pour la gestion des ressources productives dans le périmètre du Gharb au Maroc"
"780","Geraldine",2015-03-09,"Catherine",NA,"Manger entre pairs à l’école : Synchronisme et complémentarité des processus de socialisation"
"781","Maria da Luz",2013-06-22,"Michel","Patrick","Intermittences dans la culture visuelle contemporaine : la carte postale illustrée et l’image récréative"
"782","Fabien",2014-12-11,"Danièle","Jean-Pierre","Sous les avions, la “piste” : sociologie des ouvriers de l’assistance aéroportuaire confrontés à la modernisation du travail"
"783","Pascal",2016-12-02,"Pierre Éric","Yves","La quête du Graal dans l’évaluation des hauts-potentiels : de la détection du potentiel à la construction de son acceptabilité"
"784","Sylvain",2015-12-08,"Philippe","Michel","Étude des structures de coordination entre soins et recherche : le cas des essais précoces en cancérologie"
"785","Maria Giuseppina",2013-11-22,"Emmanuel",NA,"Le portage d'une politique de diversité en entreprise comme processus de changement : enjeux stratégiques et dynamiques socio-organisationnelles"
"786","Julien",2011-01-01,"Danièle",NA,"Métiers à vendre : Rationalisations du travail et désillusions professionnelles dans les grands réseaux d’enseignes du commerce et des services d’un centre commercial"
"787","Stéphane",2012-06-18,"François","Christian","La presse quotidienne nationale de l’économie industrielle à l’économie numérique : sociologie de l’édition du journal"
"788","Rosine",2013-07-09,"Antigone","Bernard","La famille camerounaise entre tradition et modernité : aspirations et représentations familiales de l’enfant handicapé"
"789","Yoann",2015-06-03,"Philippe","Catherine","Automobile et stratification sociale : diffusion, caractéristiques et coûts de l'équipement automobile en France depuis les années 1980"
"790","Hugo",2014-12-02,"Christine","Patrick","La rationalisation en douceur : sociologie des indicateurs qualité à l’hôpital"
"791","Denis",2016-10-25,"Pierre","Valérie","Les usages de la mondialisation : mobilité internationale et marchés du travail en France"
"792","Annabelle",2013-12-05,"Agnès","Serge","L'ouverture sociale comme configuration : pratiques et processus de sélection et de socialisation des milieux populaires dans les établissements d'élite : une comparaison France-Angleterre"
"793","Erika Melina",2016-12-15,"María-Eugenia","Robin","« Une vie incomplète » : le cas particulier de la colonia Miguel Hidalgo, Ecatepec, État de México"
"794","Sara",2014-12-15,"Olivier","Bruno","La démocratie des chimères : gouvernement des risques et des critiques de la biologie synthétique, en France et aux États-Unis"
"795","Blandine",2015-06-17,"Valérie","Patrick","De la médecine du travail à la santé au travail : les groupes professionnels à l’épreuve de la « pluridisciplinarité »"
"796","Nicolas",2008-01-01,"Norbert",NA,"Genèse, usages et maintien de l’ambiguïté dans l’organisation : L’exemple de la radioprotection"
"797","Khouloud",2017-06-29,"Burhan","Bernard","Les élites politiques syriennes (1946-1963) : discours et pratiques"
"798","Jacques",2012-12-05,"Shmuel","Dominique","Identités religieuses contemporaines dans le miroir des droits de l’homme : contribution à une sociologie des droits de l’homme"
"799","Tingting",2012-05-25,"Bernard","Shidan","Conduites d’optimisation en aménagement et mise-en-œuvre dans projets de développement urbain en large échelle : des leçons françaises pour la Chine"
"800","Alice",2011-01-01,"Michel",NA,"Viol et rapports de genre : émergence, enregistrements et contestations d'un crime contre la personne"
"801","Lili",2011-01-01,"Agnès",NA,"La poursuite des études scientifiques ou non scientifiques au lycée et à l'université en Chine et en France"
"802","Catherine",2007-01-01,"Jacqueline",NA,"Travail, genre et engagement dans les SEL : réflexions sur l'autonomie de l'individu à partir d'une variante de l'économie solidaire"
"803","Yves",2010-12-08,"Anne","David","La femme est l’avenir de l’homme : le difficile accès à l’âge d’homme des fils de travailleurs immigrés algériens dans un quartier désurbanisé d’une petite ville désindustrialisée du nord de la France au tournant du nouveau siècle"
"804","Antoine",2010-12-17,"François","Catherine","L'ombre et la lumière. Sociologie économique de l'activité cinématographique : travail et carrière chez les techniciens de la lumière"
"805","Juliette",2017-06-02,"Marco","Gary Alan","Chercher la ""foi"" et trouver la ""race"" : conversions à l'islam en France et aux Etats-Unis"
"806","Étienne",2009-01-01,"François",NA,"Le médicament et son double. Sociologie du marché français des médicaments génériques (1995-2009)"
"807","Anne-Laure",2011-07-11,"Michel","Erhard","Au croisement entre action publique et identité familiale : l'exemple des mères seules célibataires allemandes et françaises (1919-1998)"
"808","Sophie",2012-01-20,"Dominique","Régine","La place du jeu dans les pratiques de loisirs des enfants : Sociographie des activités récréatives des enfants âgés de 8 à 14 ans réalisée à partir d‘une enquête interculturelle conduite dans six pays : Allemagne, Autriche, Chine, États-Unis, France et Suisse"
"809","Agathe",2012-03-29,"Dominique","Anne","Dire et faire dire l'indicible : Entre secret et stigmate, l’analyse d’un processus d’enquête sociologique sur le ballonnement"
"810","Nicolas",2011-11-23,"Francis","Jean-Yves","Mobilité quotidienne, socialisation et ségrégation : une analyse à partir des manières d'habiter des adolescents de zones urbaines sensibles"
"811","Julien",2012-01-23,"Patrick","Christian","Le musée national entre principe républicain et question démocratique"
"812","Margot",2017-03-24,"Marco","Mirna","Les incidences biographiques de la ségrégation : trajectoires et mémoires des enfants des bidonvilles et cités de transit de l’après-guerre en France"
"813","Marjorie",2012-06-26,"Dominique",NA,"Formes de l'adoption d'une innovation ""énergétique"" : Analyse sociologique de la diffusion des énergies renouvelables décentralisées en France et au Royaume-Uni"
"814","Laura",2018-12-20,"Bruno","Hyacinthe","Nouveaux classiques. La création de ballets dans les compagnies de répertoire"
"815","Emmanuelle",2018-12-06,"Bruno","Christine","Lecteurs et lectrices de romans face à la prescription littéraire : une enquête sociologique sur les choix de lecture à l’ère numérique"
"816","Danut",2007-01-01,"Alain",NA,"Apparition des formes urbaines : institutions symboliques et structures matérielles au Sud-est de l'Europe"
"817","Estelle",2004-01-01,"Annie",NA,"Les représentations du travail dans le secteur associatif : bénévoles-salariés : étude comparative"
"818","Jacques-Benoît",2010-01-01,"Agnès",NA,"Les professeurs de Classes Préparatoires aux Grandes Écoles : une élite au service des élites ?"
"819","José Angel",2006-01-01,"Danièle",NA,"La société contre le marché : des travailleurs à la recherche d'une éthique du travail : trois études de cas dans l'industrie de process, de série et dans un centre d'appels"
"820","Ines",2007-01-01,"Erhard",NA,"= Devoir de l'immigré ? Devoir de l'Etat ? : la politique d'intégration en France, Allemagne et aux Pays-Bas"
"821","Véronique",2004-01-01,"Pierre",NA,"Ambivalence d'un modèle culturel dans une perspective socio-anthropologique : le cas de Disneyland Paris"
"822","Razmig",2005-01-01,"Raymond",NA,"Les limites de la construction sociale : les théories constructivistes en question"
"823","Sandrine",2008-01-01,"Michel",NA,"Autonomie et gouvernance dans de nouvelles formes de régulations sociales : Le cas des interfaces entre groupes de travail dans le secteur du conseil"
"824","Léa",2001-01-01,"Pierre",NA,"Pauvreté urbaine et exclusion sociale en Cote d'Ivoire : une analyse socio-anthropologique des enfants de la rue à Abidjan"
"825","Wenceslas",2008-01-01,"Gérard",NA,"L'amour du jazz : sociologie du goût musical"
"826","Olivier",2003-01-01,"Jean-Paul",NA,"Dieu change en paroisse : une comparaison franco-allemande"
"827","Solveig",2005-01-01,"Denis",NA,"Institution et pratique de la représentation à Aéroports de Paris : contribution à une analyse de la démocratie industrielle"
"828","Emmanuelle",2009-01-01,"Bruno",NA,"D'une frontière à l'autre : l'odyssée des migrants centraméricains en transit par le Mexique"
"829","François",2007-01-01,"Christine",NA,"La sécurité civile dans la tempête : autopsie organisationnelle de la catastrophe du 27 décembre 1999"
"830","Stéphanie",2006-01-01,"Vincent de",NA,"La distinction militante : transformations et invariances du militantisme à la Ligue communiste"
"831","Coline",2008-01-01,"Numa",NA,"La déviance des femmes : délinquantes et mauvaises mères : entre prison, justice et travail social"
"832","Erwan",2006-01-01,"Pierre",NA,"Jeunes Bretons ou ""l'identité enchanteresse"" ?"
"833","Hiarivelo",2003-01-01,"Sonia",NA,"Le mouvement des forces vives à Antananarivo : sociologie de la protestation collective à Madagascar"
"834","Marie-Hélène",2003-01-01,"Claude",NA,"Jeux de langage dans la maintenance automobile : paroles au travail, paroles et discours sur le travail"
