"","auteurs.0.prenom","date_soutenance","directeurs_these.0.prenom","president_jury.prenom","titres.fr"
"717","Aline",2017-10-16,"Christian","Florent","La peine et le soin : une enquête sur l'espace et le temps des malades en prison"
"718","Magalie",2010-01-01,"Nicky",NA,"Parcours sexués et processus de professionnalisation dans les métiers de l’animation en accueil de loisirs"
"719","Martin",2010-01-01,"Franck",NA,"La fabrique de l'avenir : une sociologie historique des business plans"
"720","Nghia",2010-01-01,"Hervé",NA,"Religion, Etat et Société : trente cinq ans de sécularisme, sécularisation et désécularisation chez les catholiques de Ho Chi Minh -Ville (1975-2009)"
"721","Audrey",2011-12-09,"François",NA,"Le passage à l'âge adulte des jeunes souffrant de troubles psychiques : enjeux d'autonomisation dans la prise en charge du handicap psychique entre dépendance et engagement des jeunes usagers/patients"
"722","Sarah",2010-01-01,"Alain",NA,"Les territoires de la délivrance : mises en perspectives historique et plurilocalisée du Réveil congolais (Bruxelles, Kinshasa, Paris, Toulouse)"
"723","Jean-Paul",2010-01-01,"Anne-Marie",NA,"Le semis direct sans labour et avec utilisation des herbicides dans la zone cotonnière au Nord Cameroun : diffusion, impacts agronomiques et socio-économiques d'une innovation en pleine expansion"
"724","Fatima",2010-01-01,"Alain",NA,"Migrations transnationales : rôle des femmes et des réseaux familiaux"
"725","Anaïs",2010-12-08,"Jean-Yves","Yves","Générations de classes moyennes et travail de gentrification : changement social et changement urbain dans le Bas Montreuil et à la Croix-Rousse, 1975-2005"
"726","Joël",2017-05-05,"Franck","Marie-Emmanuelle","La conquête des clients : les magasins Gonset et la Suisse occidentale (1920-1960)"
"727","Frédéric",2012-12-07,"Lise",NA,"Le processus de production publicitaire dans les campagnes médiatiques de santé publique : entre inspiration socio-politique et expiration médiatique"
"728","Olivier",2012-09-26,"Jean-Pierre",NA,"Critiques de l’alimentation industrielle et valorisations du naturel : sociologie historique d’une ""digestion"" difficile (1968-2010)"
"729","Nadine",2012-11-27,"Jean-Bruno","Philippe","Les imaginaires cinématographiques de la menace. Émergence du héros postomoderne"
"730","Laurence",2003-01-01,"Gilbert de",NA,"Le travail d'encadrement dans les établissements pénitentiaires : l'intelligence de la règle"
"731","Bruno",2000-01-01,"JEAN MICHEL",NA,"Sociologie d'une vocation sportive. Conversion et reconversion des gymnastes de haut niveau"
"732","Yannick",2007-01-01,"Michel",NA,"Trouver sa place sur le web : les organisations et l'apprentissage du web"
"733","Jean",2005-01-01,"Dominique",NA,"La maîtrise des situations de changement dans les entreprises de sous-traitances"
"734","Sandrine",2009-01-01,"Patrick",NA,"De la mythologie basque à une construction identitaire militante : éthique de l'engagement au prisme de l'imaginaire collectif"
"735","Eric",2009-01-01,"Jean-Yves",NA,"Vers la sobriété électrique : politiques de maîtrise des consommations et pratiques domestiques"
"736","Tanguy",2007-01-01,"Paul",NA,"La fin d'un patronage d'Etat : Consentement et conflit au travail : Le cas des facteurs de la Poste dans les Bouches-du-Rhône"
"737","Fabien",2004-01-01,"Jean-Marc",NA,"Le monde du rock en Lorraine"
"738","Mireya",2010-01-01,"Didier",NA,"La protection sociale de la santé à l'état vénézuélien : Le cas de la ville de Maracaibo"
"739","Gaël",2006-01-01,"Jean-Yves",NA,"Union européenne et système de retraite français : une perspective de sociologie du droit"
"740","Mary",2005-01-01,"Bernard",NA,"L'Elément aquatique dans un espace pluriculturel : l'exemple de l'île de La Réunion"
"741","Stéphane",2001-01-01,"Jean-Paul",NA,"La bouche : socialisation du goût alimentaire"
"742","Alain",2002-01-01,"Dominique",NA,"La Saline d'Arc-et Senans- : étude socio-historique d'une conversion culturelle. : de l'usine vivante au patrimoine mondial de l'Unesco : entre mémoire et justification utopique"
"743","Mongi",2005-01-01,"Jean-Claude",NA,"Effets des changements économiques et socio-culturels sur le secteur de l'artisanat textile à Khniss dans le Sahel tunisien"
"744","Marie",2003-01-01,"Christian de",NA,"Le Champ musical en Grèce"
"745","Franck",2002-01-01,"François",NA,"Différentes manières de faire l'instituteur"
"746","Béatrice",2005-01-01,"François",NA,"Sociologie de l'accouchement"
"747","Sylvie",2007-01-01,"Alexis",NA,"Les coopérations interprofessionnelles en cancérologie : analyse d'un réseau régional de spécialistes au niveau local"
"748","Jean-Bernard",2003-01-01,"Suzie",NA,"Le changement social des populations du Gabon : rôle et influence de l'école (étude socio-anthropologique)"
"749","Christa",2009-01-01,"Patrick",NA,"Les formes sociales de la séduction : une approche sociologique du genre à partir de l'analyse de la séduction comme phénomène social"
"750","Sarah",2003-01-01,"Guy",NA,"La construction sociale du marché du travail des ingénieurs diplômés : la formation comme dispositif de médiation marchande"
"751","Laurent",2005-01-01,"Charles",NA,"Transformations organisationnelles et devenir du rapport au travail : monographie du centre de tri postal de Nantes-Orvault"
"752","Alexandre",2007-01-01,"Michel","François","La responsabilité managériale face au risque : littérature savante, presse et Internet : Le fait moral comme justification culturelle de la performance"
"753","David",2008-01-01,"Martine",NA,"Formes et imaginaire de la fracture générationnelle. De la violence diffuse de la société à la rage de vivre juvénile"
"754","Sébastien",2008-01-01,"Dominique",NA,"Analyse des carrières professionnelles ou bénévoles des intervenants en gymnastiques de forme : comparaison entre les animatrices de la Fédération Française d’Entraînement Physique dans le Monde Moderne Sports pour Tous et les Brevets d’Etat des Métiers de la Forme"
"755","Phương Ngọc",2004-01-01,"Van Thao",NA,"À l'origine de l'anthropologie au Vietnam : recherches sur les auteurs de la première génération"
"756","Jean-Paul",2003-01-01,"Anne",NA,"L'oeuvre en actes : sociologie du Net art"
"757","Thierry",2002-01-01,"David",NA,"Le Travailleur social comme passeur : procès anthropologiques et pratiques du travail social"
"758","El Hadji Séga",2007-01-01,"Michel","François","L'expérience de la précarité au travail chez les acteurs industriels au Sénégal : le cas de la SOCOCIM et des ICS"
"759","Oana",2008-01-01,"Marie-Sylvie",NA,"La citoyenneté européenne dans le débat référendaire français de mai 2005"
"760",NA,2009-01-01,"Van Thao",NA,"La situation de la femme dans la société du Sud-Vietnam vue à travers la production littéraire des auteurs du terroir de 1858 à 1945 : essai de construction d'une anthropologie culturelle et historique de la Vietnamienne du Sud"
"761","Bernard",2003-01-01,"Jean-Louis",NA,"Insertion par l'activité économique et gestion de la précarité : l'exemple du dispositif des associations intermédiaires"
"762","Cédric",2006-01-01,"Freddy",NA,"Archipels transnationaux et agencements identitaires : Présences françaises à Berlin"
"763","Laura",2010-01-01,"Jocelyne",NA,"Couples ""métropolitain""-""polynésien"" à Tahiti : enjeux de l'ethnicité, du genre et du statut socioéconomique dans un contexte postcolonial"
"764","Gérard",2004-01-01,"Nicole",NA,"Le huis clos et l'arène : le sida dans la société française"
"765","Sandrine",2004-01-01,"Georges",NA,"Le lycée professionnel aujourd'hui : une expérience scolaire ou professionnelle ?"
"766","Cécile",2009-01-01,"Philippe",NA,"“Ensemble-séparés” : les carrières des navigatrices de course au large à l’épreuve du genre"
"767","Nathalie",2001-01-01,"Jean-Yves",NA,"Nouvelles populations limites et changements institutionnels : histoire d'une mutation"
"768","Alexandra",2005-01-01,"Alexis",NA,"Les effets des réseaux sur les représentations du cancer : étude auprès de patientes atteintes d'un cancer du sein"
"769","Peter",2000-01-01,"Charles",NA,"La terre desenchantee. Identite et controle en irlande rurale moderne"
"770","Yann",2009-01-01,"Jean-Bruno",NA,"Étude socio-technique des usages et de l'imaginaire des communautés virtuelles sur Internet"
"771","David",2005-01-01,"Franck",NA,"Les options fondamentales de la finance moderne : domestication sociologique d'un produit financier"
"772","Matthieu",2007-01-01,"Jean-Pierre",NA,"Les militants du commerce équitable : analyse localisée de l'engagement dans deux associations"
"773","Florence",2001-01-01,"François","Jean-Michel","Les spécificités disciplinaires et locales d'accès aux diplômes universitaires : effet-discipline et effet-site"
"774","Catherine",2004-01-01,"Emmanuel",NA,"Réseaux et chantiers : performance et capital social des entrepreneurs du bâtiment"
"775","Pierre",2008-01-01,"Jean",NA,"Une communauté lagunaire en mutation : l'étang de Thau et ses petits métiers"
"776","Céline",2004-01-01,"Barbara",NA,"Les entre-dits des je(ux) : significations et logiques de l'usage de substances psychoactives en lien avec le contexte festif techno, enjeux identitaires et sociaux"
"777","Colette",2001-01-01,"Suzie",NA,"Education et stratification sociale : les communautés hindouistes et créoles de l'île Maurice"
"778","Sophie",2010-01-01,"Armel",NA,"Pouvoir et vouloir se former : Les Sportifs de Haut Niveau face au processus de reconversion : entre stratégies individuelles et contraintes institutionnelles, personnelles et systémiques"
"779","Bernard",2005-01-01,"Guy",NA,"Socialisation et performances mathématiques : l'enseignement des probabilités aux élèves techniciens supérieurs"
"780","Céline",2001-01-01,"Jean",NA,"Une culture de la mobilité : :trajectoires et rôles professionnels des chauffeurs-livreurs de messagerie et fret-express"
"781","Sophie",2010-01-01,"François",NA,"Le changement de référentiel démocratique et ses effets organisationnels : analyse du système politico-administratif municipal rouennais"
"782","Alexis",2000-01-01,"François",NA,"Expertise et appropriation du risque : le cas de la commission du génie biomoléculaire. Analyse sociologique d'un dispositif d'accompagnement de l'innovation"
"783","Jean-Bernard",2008-01-01,"Danielle",NA,"La place détériorée de la personne en cumul de difficultés, sans emploi assistée dans les politiques d'insertion"
"784","Pauline",2010-01-01,"Anne-Marie",NA,"La dynamique d'appropriation des représentations sociales de l'artiste musicien dans le champ de la musique classique au début du XXIe siècle"
"785","Emmanuel",2000-01-01,"Didier","François","L'expérience du sida : maladie, reconnaissance et normativité du sujet"
"786","Fritz-Lucien",2008-01-01,"Mohand",NA,"Changement social et mouvement paysan en Haïti : une plaidoirie pour l'intégration des mouvements paysans dans le champ du mouvement social"
"787","Romy",2010-01-01,"Gérald","Pierre","Le Processus d'abandon des croyances défiant le sens commun"
"788","Evelyne",2005-01-01,"Joëlle",NA,"Les ostéopathes face à la contrainte institutionnelle : genèse d'une professionnalisation"
"789","Yahya",2009-01-01,"Pascal",NA,"La dénonciation de la condition de la femme au Maroc : (1980-2009)"
"790","Aurore",2008-01-01,"Bernard",NA,"La sociologie chinoise à l'épreuve de la société : du bannissement à la mobilisation : les défis d'une science sociale"
"791","Raymond",2009-01-01,"Jean-Marie",NA,"Les Khons : les représentations sociales de la maladie et les pratiques magiques dans l'espace interculturel sénégalais"
"792","Gregory",2002-01-01,"Armel",NA,"L'émergence à la personne comme condition du processus d'appropriation de l'espace : un point de vue expérimental"
"793","Mustapha",2005-01-01,"Jacques",NA,"Les politiques publiques compensatoires : Les cas des RMI et de la Politique de la ville"
"794","Léo",2007-01-01,"Christine",NA,"De ""L'Ennemi Principal"" aux principaux ennemis : position vécue, subjectivité et conscience masculines de domination"
"795","Mélanie",2009-01-01,"Pascal",NA,"Contribution à la critique des théories de l'action : intention et émoraison"
"796","Sandrine Charlotte",2007-01-01,"Sylvette",NA,"Perceptions des risques industriels et nucléaires : enjeux, négociations et construction sociale des seuils d'acception des risques"
"797","Philippe",2011-01-01,"Michel",NA,"Trente années de compagnonnage pour l'insertion professionnelle et sociale des jeunes : du pari de Schwartz à celui de la métamorphose de Morin : de la naissance à l'adultéité des missions locales. Racines et rameaux"
"798","Christiane",2003-01-01,"Jean-Marie",NA,"Réalité de la Diva. Figures mythiques de la femme"
"799","Philippe",2002-01-01,"François",NA,"Émergence et permanence d'une question environnementale : le cas de l'industrie de l'uranium en Limousin"
"800","Hélène",2009-01-01,"Marcel",NA,"Le travail relationnel au cœur de l’expérience du cancer : mises en forme ordinaires et institutionnelles de cette épreuve"
"801","Lionel",2003-01-01,"Michel",NA,"L'""instit"", la télévision et le social : problèmes sociaux et création audiovisuelle"
"802","Odile",2002-01-01,"Yves",NA,"Trajectoires amicales et construction des positions lors du passage à l'âge adulte : enquête auprès d'un amphithéâtre d'étudiants en première année"
"803","Laurence",2005-01-01,"Chantal",NA,"Constructions identitaires et créolisation alimentaire à l'île de La Réunion"
"804","PATRICIA",2000-01-01,"Nicole",NA,"La construction sociale des hauts : processus de la division spatiale et traitement de la precarite des acteurs a travers l'amenagement des hauts de la reunion"
"805","Nicolas",2007-01-01,"Jean-Michel",NA,"Le cyclisme d'élite français : un modèle singulier de formation et d'emploi"
"806","Esther",2006-01-01,"François",NA,"Création d'entreprises à technologie innovante, entre recherche et industrie : le cas d'Acceval, incubateur régional de Haute Normandie"
"807","Amélie",2009-01-01,"Véronique",NA,"Usages sociaux de la mémoire et projet d'aménagement urbain : les héritages industriels et portuaires à l'épreuve du projet de l'île de Nantes"
"808","Claude",2003-01-01,"Jean-François",NA,"Changement social par décohésion : dissimultanéité du changement social à Andapa, nord-est de Madagascar"
"809","Fabrice",2007-01-01,"Marcel",NA,"Usages et usagers de drogues dans les mondes de l'errance urbaine et de la prison : une ""expérience totale"" ? : sociologie du sens endogène des pratiques de consommation de produits toxiques associées à des prises de risques pour la santé"
"810","Florence",2004-01-01,"Isabelle",NA,"Phénoménologie du toucher dans le champ des pratiques soignantes contemporaines"
"811","Juliette",2001-01-01,"Lise",NA,"Les pratiques d'évaluation du travail d'enseignement"
"812","CHRISTOS",2001-01-01,"Claude",NA,"Mass media et conscience collective europeenne"
"813","Thierry",2003-01-01,"Dominique",NA,"Les dynamiques identitaires et conflictuelles de l'échange interprofessionnel : le cas de la coopération entre soldats et gendarmes français au Kosovo"
"814","Caroline",2007-01-01,"Dominique",NA,"Médecins généralistes et usagers de drogues : analyse des pratiques de part et d'autre d'une frontière (Belgique-France)"
"815","Carole",2006-01-01,"Bernard",NA,"Les lycéens et les études supérieures, propriétés sociales et rapports différenciés : (enquêtes Alsace)"
"816","Stéphanie",2005-01-01,"Charles",NA,"Identités professionnelles et trajectoires ouvrières aux chantiers de Normandie : 1945-1986"
"817","Isabelle",2002-01-01,"Dominique",NA,"La transformation post-communiste tchèque à l'épreuve de la marginalisation sociale"
"818","Mathias",2008-01-01,"Patrick",NA,"L'Image-relation : sociologie du monde du cinéma documentaire"
"819","Jean-Martin",2002-01-01,"Didier","Patrick","Situation migratoire et ethnicité : essai d'analyse fonctionnelle des stratégies d'intégration des migrants Diolas à Bordeaux"
"820","Paul",2002-01-01,"Bertrand",NA,"Le processus de construction de l'identité joola : analyse socio-anthropologique des conflits en milieu ajamat (Casamance, Sénégal)"
"821","Jean-François",2001-01-01,"Jean-Yves",NA,"Changements et paradoxes de l'Université : Approche socio-anthropologique d'une situation particulière"
"822","Cyril",2004-01-01,"Anne",NA,"Une approche sociologique des processus et conditions d'émergence du sentiment d'appartenance au territoire : l'exemple du pays de Brest"
"823","Florence",2008-01-01,"Bruno",NA,"La reconfiguration d'un métier de service face à l'injonction commerciale : le cas de l'inséminateur de bovins"
"824","François",2004-01-01,"Khoa",NA,"La francophonie en Asie : monographie de l'espace social francophone de Huê, 1999-2001"
"825","Sébastien",2005-01-01,"Yves",NA,"Pour une sociologie des societes civiles immobilières : logiques patrimoniales, dynamiques familiales et professionnelles, identités socio-juridiques : le cas de la région lyonnaise (1978-1998)"
"826","Matthieu",2008-01-01,"François",NA,"L'institution médicale face à la montée du droit"
"827","Sophie",2000-01-01,"Armel",NA,"Les raisons d'artistes : essai d'anthroposociologie sur la singularité artistique"
"828","Christophe",2002-01-01,"Armel",NA,"La jeunesse à travers ses raves : l'émergence à la personne et sa régulation par le monde adulte : le cas des fêtes techno"
"829","Elodie",2007-01-01,"Patrick",NA,"Le travail, la production, l'emploi : généalogie compréhensive des dimensions anthropologique, économique et sociale du travail : étude appliquée au cas français"
"830","Matthieu",2005-01-01,"Didier","François","Le mangeur contemporain : une sociologie de l'alimentation"
"831","Géraldine",2002-01-01,"François",NA,"L'économie sociale : les SEL et les régies de quartier en Aquitaine"
"832","Gaële",2002-01-01,"François","Charles-Henry","Égalité et mérite à l'université : une comparaison États-Unis, Indonésie, France"
"833","Cherry",2001-01-01,"Suzie",NA,"Les Représentations de la Communauté dans la sociologie américaine et britannique"
"834","Séverine",2005-01-01,"Jean",NA,"La construction locale des laboratoires : approche ethnographique de dynamiques d'évolution de laboratoires académiques en France"
"835","Sadio Ba",2010-01-01,"Alain",NA,"Fiscalités, confréries et syndicats de commerçants dans le ""secteur informel"" à Dakar : réseaux et ambivalences"
"836","Emmanuel",2010-01-01,"Arlette",NA,"Singularisations de genre différenciées : une approche intersectionnelle de la conversion dans le travail social"
"837","Chadi",2008-01-01,"Gilles",NA,"Les effets des collecticiels sur les relations sociales au travail : le cas libanais"
"838","Farid",2005-01-01,"David",NA,"A travers l'argent des jeunes hommes se racontent : ethnographie d'un quartier populaire de type grand ensemble situé à la périphérie du centre urbain strasbourgeois"
"839","Gamal Farag",2009-01-01,"Gilles",NA,"De l'urbanisme étatique à la gouvernance urbaine : l'exemple de Tripoli (Libye)"
"840","David",2006-01-01,"Patrick",NA,"Le selidarisme : la part du don dans l'économie monétaire des SEL"
"841",NA,2002-01-01,"Jean",NA,"Nouvelles technologies et changements culturels : l'exemple des ouvrières mayas travaillant dans une usine de montage au Yucatan, Mexique"
"842","Pierre",2001-01-01,"Yves",NA,"Le socialisme, l'utopie ou la science ? : la ""science sociale"" de Charles Fourier et les expérimentations sociales de l'Ecole sociétaire au XIXe siècle"
"843","Annick",2001-01-01,"Bruno",NA,"Nouvelles images, nouveaux artistes ? : L'utilisation de l'informatique dans la création graphique et ses conséquences sur les artistes"
"844","Guillaume",2008-01-01,"Jean",NA,"Les mutations du secteur agricole bamiléké (Cameroun) étudiées à travers ses acteurs : une analyse à partir des localités de Fokoué et de Galim"
"845","Olivier",2004-01-01,"Emmanuel",NA,"Discipline sociale entre prêtres : bureaucratie et collégialité dans un diocèse français contemporain"
"846","Elisabeth",2000-01-01,"Yvon",NA,"Le métissage dans la ville : apparences raciales, ancrage territorial et construction de catégories à Cartagena (Colombie)"
"847","Myriam",2000-01-01,"Anne",NA,"Le livre, l'image, le récit : étude sociologique de la littérature jeunesse à l'ère du visuel"
"848","Claude",2004-01-01,"Jean-Yves",NA,"L'ergothérapie dans le champ des professions paramédicales : positions, prises de position et représentations"
"849","Anne",2003-01-01,"Pierre-Jean",NA,"Approche sociologique de la naturalisation en France : enjeux et signification de l'acquisition de la nationalité française par décret"
"850","Aboubacar Abdoulaye",2008-01-01,"Georges","Éric","Politiques publiques, école et gestion du personnel enseignant dans l'éducation de base au Sénégal"
"851","Jean-Claude",2006-01-01,"Dominique",NA,"La traduction des démarches qualité : le cas de la production des soins de santé"
"852","Hélène",2010-01-01,"Alain",NA,"Expériences de pères en congé parental d’éducation : recompositions de la parentalité et du genre ?"
"853","Thierry",2007-01-01,"Franck",NA,"Le travail de qualification : signes officiels de qualité et référence territoriale"
"854","Pierre",2017-11-28,"Geneviève",NA,"L’invention de l’assistance sexuelle : socio-histoire d’un problème public français"
"855","Antonio dos",2016-12-15,"Abdelhafid",NA,"Renouveler la ville, reproduire la nature : une socio-anthropologie des processus décisionnels et des relations à la nature au sein d’un projet urbain durable"
"856","Aurore",2017-12-12,"Catherine",NA,"Les inégalités sociales face au cancer dans le Nord–Pas-de-Calais : étude du processus de mise en forme des inégalités à travers une analyse comparée des trajectoires de malades atteints du cancer"
"857","Claire",2017-11-21,"Abdelhafid",NA,"Life is easy here"" : Migrer, travailler, se loger, s’éduquer, pratiques et privilèges des Nord-Américains, Britanniques et Français à Séoul"
"858","Guman Singh",2017-12-15,"Brigitte",NA,"Une révolution paralysée : montée et transformation de la révolution Maoïste au Népal"
"859","Anne",2017-12-06,"Bernadette",NA,"Raccourcissement du séjour hospitalier après la naissance d’un enfant à Roubaix : vécu des femmes, travail domestique et pratiques de soins à domicile"
"860","Nathalie",2012-03-24,"Chantal","Noël","Réminiscence de ""la petite bourgeoisie nouvelle shanghaïenne (xiaozi)"" et redéfinition identitaire : étude socio-historique d'un groupe social original"
"861","Julie",2012-02-02,"José","Pierre","L'université française et la fabrique de professionnels : Essai de typologie des formations universitaires"
"862","Adrien",2013-01-01,"Yvon",NA,"Les provinces de la musique : Pratiques professionnelles, trajectoires et rapports au métier des instrumentistes classiques limougeauds"
"863","Françoise",2002-01-01,"Patrick",NA,"Les enjeux sociaux de la modernité : la transformation contemporaine des représentations symboliques"
"864","Jean-Luc",2002-01-01,"Patrick",NA,"L'être en projet de jeunes dans une configuration locale : pour une sociologie des processus oscillatoires des attitudes juvéniles"
"865","Hanane",2018-09-21,"Anne-Sophie","Sylvie","Assignation à l'altérité radicale et chemins d'émancipation : étude de l'agency de femmes musulmanes françaises"
"866","Maximiliano",2012-11-02,"Maurice","Philippe","Conflits, usages et représentations des processus de patrimonialisation des quartiers anciens péricentraux : étude comparée de Bâle, Strasbourg et Valparaiso"
"867","Chiara",2018-06-25,"David","Donatella","La douleur non légitime : une analyse du syndrome fibromyalgique"
"868","Stéphane",2014-12-01,"Catherine","Jean-Philippe","Prévention et vieillissement : l'expérience individuelle du vieillissement face à la norme contemporaine du ""bien vieillir"""
"869","Joanne",2013-12-17,"Jacques","Dominique","Les ""talibés"" du Sénégal : une catégorie de la rue, prise entre réseaux religieux et politiques d'action humanitaire"
"870","Pierre",2014-12-09,"Antoine","Christophe","HADOPI comme expérimentation : récit d'une instrumentation de l'action publique"
"871","Maixent Cyr",2014-12-04,"Serge","Gilles","Genre et Paix ! : les femmes dans la résolution des conflits au Congo-Brazzaville"
"872","Élodie",2017-12-01,"Christine","Annie","Lectures de science-fiction et fantasy : enquête sociologique sur les réceptions et appropriations des littératures de l'imaginaire"
"873","Chang-Hoon",2014-02-17,"Philippe","Patrick","Le slogan publicitaire, dynamique linguistique et vitalité sociale : la construction d'une esthétique sociale à travers la communication publicitaire"
"874","Cécile",2013-12-11,"Dominique","Christophe","Décider la programmation des espaces sportifs : la question des outils d’aide à la décision : entre logiques d’acteurs, demandes sociales et obsolescence du patrimoine : l’exemple de la Ville de Rennes"
"875","Patrice",2014-01-09,"Stéphane","Gilles","Devenir cavalier : une expérience d’apprentissage par corps : essai de socio-anthropo-zoologie des pratiques et techniques équestres"
"876","Francesco",2016-03-04,"Pascal","Nicoletta","Flux migratoires et processus interculturels dans les zones frontalières : dynamiques communicatives et pratiques de reconnaissance à Lampedusa et en Sicile (2011-2014)"
"877","Aude",2012-04-23,"Rémy",NA,"Le pouvoir symbolique du discours de la Banque mondiale sur la perception des acteurs locaux du développement : le cas du Burkina Faso"
"878","Claire",2012-11-30,"Lise",NA,"Le processus de rationalisation du soin en psychiatrie publique : les nouveaux dispositifs de gestion"
"879","Ariane",2015-11-27,"Nicole","Mathias","La construction sociale et cognitive des savoirs à l'école maternelle : entre processus différenciateurs et moments de démocratisation : le cas des activités relatives à l'écrit en grande section"
"880","Azize",2015-12-15,"Jean-Baptiste","El Mouhoub","Rôle de la diaspora algérienne dans le développement de l’entrepreneuriat et le transfert de la connaissance"
"881","Frédéric",2017-05-31,"Hubert","Olivier","Pauvreté et capacité d’adaptation des exploitants agricoles aux changements climatiques : le cas du Nord Bénin"
"882","Mickaël",2010-11-17,"Patrick","Michel","La conception informatique au-delà de l’entreprise : rôles des formes sociales émergentes et transverses aux organisations dans les milieux professionnels du génie logiciel"
"883","Saïd",2010-11-08,"Jean-Yves","Philip","Emergence des traitements de substitution aux opiacés en médecine de ville"
"884","Sabrina",2007-10-11,"Jean-Marc","Jean-Yves","Une approche sociologique du travail associatif dans les quartiers dits sensibles : de l'expérience à l'expertise"
"885","Jérémy",2008-03-28,"Vincent","Jean-Yves","Le paradoxe des intermittents du spectacle : l'art de retourner les obstacles à l'action collective (2003-2006)"
"886","Nayereh",2010-02-12,"Jean-Yves","Josiane","La violence conjugale et le divorce en Iran"
"887","François",2008-06-11,"Jean-Marc","Antoine","Feedback ! : pour une généalogie des musiques populaires"
"888","Olivier",2008-02-11,"Jean-Marc","Jean-Yves","Les techniques et le corps dans la transmission de l'art théâtral : ethnographie d'une Ecole de théâtre professionnel : (les classes d'Art Dramatique du Conservatoire Royal de Liège)"
"889","Maïtena",2010-10-20,"François","Michel","L'évolution d'une immigration ""communautaire"" en France et en Allemagne : le cas des jeunes d'origine turque : entre communauté, société et cité"
"890","Lupsa-Marius",2011-06-06,"Mohand",NA,"L'intégration sociale des immigrés roumains en France"
"891","Hoda",2011-06-09,"Martine",NA,"La toxicomanie des adolescents en Iran : les facteurs familiaux affectant les 18-25 ans dans la ville de Dezfoul"
"892","Marine",2016-09-29,"Jean-Pierre","Sylvie","Les expériences alimentaires des temps du cancer"
"893","Dilnur",2017-04-05,"Stéphane de","Smaïn","Le rôle des technologies d'information et de communication (TIC) dans la contruction des nouvelles diasporas : le cas de la diaspora Ouïghoure"
"894","Claire",2015-11-02,"Jens","Régine","Le travail des déchets : regards croisés sur une activité industrielle et environnementale"
"895","Djeneric",2016-06-22,"Anne","Ahmed","Processus de privatisation et nouveau mangement dans les entreprises gabonaises"
"896","Anne",2013-12-10,"Gilles","Marie-Carmen","Des transmissions à l'épreuve des situations migratoires : les conditions d'une émancipation individuelle par le loisir sportif des descendantes de migrants maghrébins en quartier populaire"
"897","Séverine",2011-12-09,"Jean-Marc","Roland","Les amateurs de théâtre en Lorraine"
"898","Marion",2015-10-14,"Denis","Jean-Paul","Sortir des phytos en viticulture : pratiques professionnelles, action collective et normalisation environnementale"
"899","Dan",2013-12-13,"Sylvia","Marie-Carmen","Le genre à l'école en Chine : représentations et pratiques des enseignants à l'école primaire - l'exemple de Shanghai"
"900","Camille",2017-03-29,"Jean-Noël","Yasmine","S'informer, s'indigner, réclamer, revendiquer ou non en entreprise : les jeunes salariés à l'épreuve de leurs droits"
"901","Jean-Philippe",2014-01-01,"Jean-Noël",NA,"Le syndicat des avocats de France (1972-2012) : contribution à une socio-histoire du militantisme syndical dans le champ judiciaire"
"902","Aude",2013-11-29,"Sylvia",NA,"Les défis de l'assainissement à Mayotte : dynamiques de changement social et effets pervers de l'action publique"
"903","Adelle",2014-12-19,"Catherine","Juan","Les parcours d'insertion professionnelle des jeunes diplômés à l'épreuve de la précarité professionnelle : le cas des jeunes cuisiniers en France"
"904","Marie",2017-04-19,"Jean-Noël",NA,"Socio-histoire de l'Inspection du travail : une administration comme une autre ?"
"905","Florence",2015-01-01,"Michalis",NA,"La métamorphose de l'artisanat"
"906","Mélaine",2017-06-19,"Jean-Yves","Rémi","Controverse autour d’une maladie en construction : exemple de la maladie de Lyme"
"907","Mathilde",2012-11-13,"Bruno",NA,"S'engager pour les étrangers : les associations et les militants de la cause des étrangers dans le Nord de la France"
"908","Gaël",2017-02-13,"Arlette","Françoise","L'alcoolisation des étudiantes irlandaises"
"909","Clément",2011-10-17,"Gilles","Dominique","Le sport à la campagne : les connectivités sportives associatives dans la recomposition de la société rurale en Franche-Comté"
"910","Yong",2016-01-01,"Michalis",NA,"Condamnés à réussir : Insertion professionnelle des diplômés chinois en France, nouvelles dynamiques migratoires et identitaires"
"911","Nathalie",2012-12-07,"Angelina",NA,"Vers une individuation médiatisée par la participation à une scène subculturelle numérique : les auteurs de school shootings et leurs publics"
"912","Joanne",2016-11-08,"Martine","Annie","Interroger les modèles d'intégration au prisme des politiques de formation linguistique : une comparaison entre Nantes et Bristol"
"913","Bruno",2011-01-01,"Anne-Sophie",NA,"La culture religieuse des adolescents en France et en Allemagne : des connaissances aux défis de l'exculturation, de la popularisation et de l'altérité"
"914","Christophe",2013-12-19,"Alain","Bertrand","Les formateurs en travail social : une professionnalisation impossible"
"915","Walid",2011-01-01,"Patrick",NA,"L'enseignement religieux au Liban et son influence sur le maintien de la cohabitation"
"916","Élise",2013-12-10,"Jean-Pierre",NA,"Foie gras, gavage et ""touristes-mangeurs"" : une sociologie de l'alimentation à l'heure de la mondialisation"
"917","Anne",2012-01-01,"Frédéric",NA,"Les artisans d'art en France : éthiques et marchés"
"918","Dieudonné",2014-12-13,"Catherine","Catherine","Le parcours de vie des enfant isolés étrangers en France : contextes et situations"
"919","Pamela",2013-04-08,"Vincent","Geneviève","Dilemmes familiaux de la prise en charge de la maladie d’Alzheimer : principes, relations et émotions"
